Ensembl Gene ID	Gene Symbol
ENSG00000242268	-
ENSG00000270112	-
ENSG00000167578	RAB4B
ENSG00000273842	-
ENSG00000078237	TIGAR
ENSG00000146083	RNF44
ENSG00000225275	-
ENSG00000158486	DNAH3
ENSG00000198242	RPL23A
ENSG00000259883	-
ENSG00000231981	-
ENSG00000269475	-
ENSG00000201788	-
ENSG00000134108	ARL8B
ENSG00000263089	-
ENSG00000172137	CALB2
ENSG00000167700	MFSD3
ENSG00000234943	-
ENSG00000240423	-
ENSG00000060642	PIGV
ENSG00000271616	-
ENSG00000234881	-
ENSG00000236040	-
ENSG00000231105	-
ENSG00000243044	-
ENSG00000182141	ZNF708
ENSG00000269416	-
ENSG00000264981	-
ENSG00000275265	-
ENSG00000185105	MYADML2
ENSG00000233540	-
ENSG00000102174	PHEX
ENSG00000271647	-
ENSG00000166391	MOGAT2
ENSG00000270469	-
ENSG00000070087	PFN2
ENSG00000262950	-
ENSG00000255420	-
ENSG00000280038	-
ENSG00000266261	-
ENSG00000153561	RMND5A
ENSG00000269148	-
ENSG00000274458	-
ENSG00000273406	-
ENSG00000179262	RAD23A
ENSG00000214198	-
ENSG00000278099	-
ENSG00000166368	OR2D2
ENSG00000206072	SERPINB11
ENSG00000234900	-
ENSG00000258630	-
ENSG00000127511	SIN3B
ENSG00000220993	-
ENSG00000225269	-
ENSG00000214062	-
ENSG00000095587	TLL2
ENSG00000274219	-
ENSG00000230100	-
ENSG00000064601	CTSA
ENSG00000227766	-
ENSG00000008517	IL32
ENSG00000215246	-
ENSG00000266644	-
ENSG00000236893	-
ENSG00000254465	-
ENSG00000088179	PTPN4
ENSG00000070081	NUCB2
ENSG00000275479	-
ENSG00000166634	SERPINB12
ENSG00000261789	-
ENSG00000254092	-
ENSG00000197421	-
ENSG00000161558	TMEM143
ENSG00000276644	DACH1
ENSG00000260900	-
ENSG00000278732	-
ENSG00000196167	COLCA1
ENSG00000268465	-
ENSG00000264438	-
ENSG00000204113	-
ENSG00000207000	-
ENSG00000254131	-
ENSG00000118972	FGF23
ENSG00000264104	-
ENSG00000179833	SERTAD2
ENSG00000264576	-
ENSG00000064225	ST3GAL6
ENSG00000267108	-
ENSG00000221372	-
ENSGR0000264510	-
ENSG00000057294	PKP2
ENSG00000227535	-
ENSG00000252628	-
ENSG00000166007	-
ENSG00000273055	-
ENSG00000242041	-
ENSG00000278923	-
ENSG00000167768	KRT1
ENSG00000280159	-
ENSG00000235240	-
ENSG00000264172	-
ENSG00000199903	-
ENSG00000200058	-
ENSG00000275358	-
ENSG00000218358	-
ENSG00000266460	-
